titol,preu,venedor,label,catalog_number,media_condition,sleeve_condition,rating,shipped_from,link
"Vicente Atria - Orlando Furioso (LP, Album)",€30.88,Lot.Of.Music,Aguirre Records,ZORN94,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Netherlands,https://www.discogs.com/sell/item/3493104783
"Remy Van Kesteren - Muses (LP, Album)",€24.88,Lot.Of.Music,Snowstar Records,23-223,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Netherlands,https://www.discogs.com/sell/item/3493103559
"João Orecchia & Sicker Man - Parallax (LP, Album, Gre)",€26.88,Lot.Of.Music,Blankrecords,none,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),2.00,Ships From:Netherlands,https://www.discogs.com/sell/item/3493102842
"Jonny Nash - Point Of Entry (LP, Album)",€30.88,Lot.Of.Music,Melody As Truth,MAT23,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.76,Ships From:Netherlands,https://www.discogs.com/sell/item/3886528258
"Pigeon (14) - Backslider (12"", EP)",€27.88,Lot.Of.Music,Soundway,SNDW12052,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.29,Ships From:Netherlands,https://www.discogs.com/sell/item/3658058142
"MaskXSoul - Onegin (LP, Album)",€30.88,Lot.Of.Music,Denovali Records,DEN375,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.00,Ships From:Netherlands,https://www.discogs.com/sell/item/3493100214
"Contemporary Noise Ensemble* - An Excellent Spiritual Serviceman (2xLP, Album)",€42.88,Lot.Of.Music,Antena Krzyku,"none, den358","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Netherlands,https://www.discogs.com/sell/item/3493100208
"Lars Bartkuhn - Dystopia (LP, Album)",€27.88,Lot.Of.Music,Rush Hour (4),RHM 042,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.57,Ships From:Netherlands,https://www.discogs.com/sell/item/3493099152
"Pedro Ricardo - Soprem Bons Ventos (LP, Album)",€37.88,Lot.Of.Music,Soundway,SNDWLP159,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.65,Ships From:Netherlands,https://www.discogs.com/sell/item/3493098444
Holsen & Cassiers - Walking In Circles (LP),€30.88,Lot.Of.Music,Stroom (2),STRLP-065,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.80,Ships From:Netherlands,https://www.discogs.com/sell/item/3493096776
Siema Ziemia - Second (LP),£10.00,Dobshizzle,Byrd Out Limited,BYR041,"Very Good Plus (VG+)

                    



                                                Will show some signs that it was played and otherwise handled by a previous owner who took good care of it",Very Good Plus (VG+),4.67,Ships From:United Kingdom,https://www.discogs.com/sell/item/3752433265
"Pearl And The Oysters - Coast 2 Coast (LP, Album, Blu)",£22.00,Dobshizzle,Stones Throw Records,STH2481,"Mint (M)

                    



                                                Absolutely perfect in every way",Near Mint (NM or M-),4.76,Ships From:United Kingdom,https://www.discogs.com/sell/item/2963797759
